S000028862	telomere		TEL01L	TEL01L		chromosome 1		1	801	0	C		2/17/1970	2/17/1970	TEL01L//Telomeric region on the left arm of Chromosome I; composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats/
S000028864	telomeric_repeat		TEL01L-TR	TEL01L-TR		chromosome 1		1	61	0	C		2/17/1970	2/17/1970	TEL01L-TR//Terminal stretch of telomeric repeats on the left arm of Chromosome I/
S000028866	X_element_combinatorial_repeats		TEL01L-XR	TEL01L-XR		chromosome 1		1	335	62	C		2/17/1970	2/17/1970	TEL01L-XR//Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats/
S000028865	X_element_core_sequence		TEL01L-XC	TEL01L-XC		chromosome 1		1	801	336	C		2/17/1970	2/17/1970	TEL01L-XC//Telomeric X element Core sequence on the left arm of Chromosome I; contains an ARS consensus sequence, an Abf1p binding site consensus sequence and two small overlapping ORFs (YAL068W-A and YAL069W)/
S000034594	binding_site		TEL01L-XC	TEL01L-XC		chromosome 1		1	544	532	C		2/17/1970	2/17/1970	TEL01L-XC///
S000121252	ARS		ARS102	ARS102		chromosome 1		1	650	1791	W		2/17/1970	2/17/1970	ARS102//Autonomously Replicating Sequence/
S000034593	ARS consensus sequence		TEL01L-XC	TEL01L-XC		chromosome 1		1	763	753	C		2/17/1970	2/17/1970	TEL01L-XC///
S000002142	ORF		YAL068C	YAL068C		chromosome 1		1	2169	1807	C		2/17/1970	2/17/1970	YAL068C//Hypothetical protein/
S000030944	CDS		YAL068C	YAL068C		chromosome 1		1	2169	1807	C		2/17/1970	2/17/1970	YAL068C///
S000028593	ORF		YAL067W-A	YAL067W-A		chromosome 1		1	2480	2707	W		2/17/1970	2/17/1970	YAL067W-A//Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching/
S000031368	CDS		YAL067W-A	YAL067W-A		chromosome 1		1	2480	2707	W		2/17/1970	2/17/1970	YAL067W-A///
